sent=12100, configured_rate=20.0/sec
sent=12120, configured_rate=20.0/sec
sent=12140, configured_rate=20.0/sec
sent=12160, configured_rate=20.0/sec
sent=12180, configured_rate=20.0/sec
sent=12200, configured_rate=20.0/sec
sent=12220, configured_rate=20.0/sec
sent=12240, configured_rate=20.0/sec
sent=12260, configured_rate=20.0/sec
sent=12280, configured_rate=20.0/sec
sent=12300, configured_rate=20.0/sec
sent=12320, configured_rate=20.0/sec
sent=12340, configured_rate=20.0/sec
sent=12360, configured_rate=20.0/sec
sent=12380, configured_rate=20.0/sec
sent=12400, configured_rate=20.0/sec
sent=12420, configured_rate=20.0/sec
sent=12440, configured_rate=20.0/sec
sent=12460, configured_rate=20.0/sec
sent=12480, configured_rate=20.0/sec
sent=12500, configured_rate=20.0/sec
sent=12520, configured_rate=20.0/sec
sent=12540, configured_rate=20.0/sec
sent=12560, configured_rate=20.0/sec
sent=12580, configured_rate=20.0/sec
sent=12600, configured_rate=20.0/sec
sent=12620, configured_rate=20.0/sec
sent=12640, configured_rate=20.0/sec
sent=12660, configured_rate=20.0/sec
sent=12680, configured_rate=20.0/sec
sent=12700, configured_rate=20.0/sec
sent=12720, configured_rate=20.0/sec
sent=12740, configured_rate=20.0/sec
sent=12760, configured_rate=20.0/sec
sent=12780, configured_rate=20.0/sec
sent=12800, configured_rate=20.0/sec
sent=12820, configured_rate=20.0/sec
sent=12840, configured_rate=20.0/sec
sent=12860, configured_rate=20.0/sec
sent=12880, configured_rate=20.0/sec
sent=12900, configured_rate=20.0/sec
sent=12920, configured_rate=20.0/sec
sent=12940, configured_rate=20.0/sec
sent=12960, configured_rate=20.0/sec
sent=12980, configured_rate=20.0/sec
sent=13000, configured_rate=20.0/sec
sent=13020, configured_rate=20.0/sec
sent=13040, configured_rate=20.0/sec
sent=13060, configured_rate=20.0/sec
sent=13080, configured_rate=20.0/sec
sent=13100, configured_rate=20.0/sec
sent=13120, configured_rate=20.0/sec
sent=13140, configured_rate=20.0/sec
sent=13160, configured_rate=20.0/sec
sent=13180, configured_rate=20.0/sec
sent=13200, configured_rate=20.0/sec
sent=13220, configured_rate=20.0/sec
sent=13240, configured_rate=20.0/sec
sent=13260, configured_rate=20.0/sec
sent=13280, configured_rate=20.0/sec
sent=13300, configured_rate=20.0/sec
sent=13320, configured_rate=20.0/sec
sent=13340, configured_rate=20.0/sec
sent=13360, configured_rate=20.0/sec
sent=13380, configured_rate=20.0/sec
sent=13400, configured_rate=20.0/sec
sent=13420, configured_rate=20.0/sec
sent=13440, configured_rate=20.0/sec
sent=13460, configured_rate=20.0/sec
sent=13480, configured_rate=20.0/sec
sent=13500, configured_rate=20.0/sec
sent=13520, configured_rate=20.0/sec
sent=13540, configured_rate=20.0/sec
sent=13560, configured_rate=20.0/sec
sent=13580, configured_rate=20.0/sec
sent=13600, configured_rate=20.0/sec
sent=13620, configured_rate=20.0/sec
sent=13640, configured_rate=20.0/sec
sent=13660, configured_rate=20.0/sec
sent=13680, configured_rate=20.0/sec
sent=13700, configured_rate=20.0/sec
sent=13720, configured_rate=20.0/sec
sent=13740, configured_rate=20.0/sec
sent=13760, configured_rate=20.0/sec
sent=13780, configured_rate=20.0/sec
sent=13800, configured_rate=20.0/sec
sent=13820, configured_rate=20.0/sec
sent=13840, configured_rate=20.0/sec
sent=13860, configured_rate=20.0/sec
sent=13880, configured_rate=20.0/sec
sent=13900, configured_rate=20.0/sec
sent=13920, configured_rate=20.0/sec
sent=13940, configured_rate=20.0/sec
sent=13960, configured_rate=20.0/sec
sent=13980, configured_rate=20.0/sec
sent=14000, configured_rate=20.0/sec
sent=14020, configured_rate=20.0/sec
sent=14040, configured_rate=20.0/sec
sent=14060, configured_rate=20.0/sec
sent=14080, configured_rate=20.0/sec
sent=14100, configured_rate=20.0/sec
sent=14120, configured_rate=20.0/sec
sent=14140, configured_rate=20.0/sec
sent=14160, configured_rate=20.0/sec
sent=14180, configured_rate=20.0/sec
sent=14200, configured_rate=20.0/sec
sent=14220, configured_rate=20.0/sec
sent=14240, configured_rate=20.0/sec
sent=14260, configured_rate=20.0/sec
sent=14280, configured_rate=20.0/sec
sent=14300, configured_rate=20.0/sec
sent=14320, configured_rate=20.0/sec
sent=14340, configured_rate=20.0/sec
sent=14360, configured_rate=20.0/sec
sent=14380, configured_rate=20.0/sec
sent=14400, configured_rate=20.0/sec
sent=14420, configured_rate=20.0/sec
sent=14440, configured_rate=20.0/sec
sent=14460, configured_rate=20.0/sec
sent=14480, configured_rate=20.0/sec
sent=14500, configured_rate=20.0/sec
sent=14520, configured_rate=20.0/sec
sent=14540, configured_rate=20.0/sec
sent=14560, configured_rate=20.0/sec
sent=14580, configured_rate=20.0/sec
sent=14600, configured_rate=20.0/sec
sent=14620, configured_rate=20.0/sec
sent=14640, configured_rate=20.0/sec
sent=14660, configured_rate=20.0/sec
sent=14680, configured_rate=20.0/sec
sent=14700, configured_rate=20.0/sec
sent=14720, configured_rate=20.0/sec
sent=14740, configured_rate=20.0/sec
sent=14760, configured_rate=20.0/sec
sent=14780, configured_rate=20.0/sec
